Source,Target,Weight,Type
Bradao_OsPobres,CasteloBranco_AmorPerdicao,2,undirected
Bradao_OsPobres,CasteloBranco_BrilhantesBrasileiro,1,undirected
Bradao_OsPobres,Dinis_Pupilas,3,undirected
Braga_Viriato,CasteloBranco_CaveiraMartir,2,undirected
Braga_Viriato,Herculano_EuricoPresbitero,6,undirected
Braga_Viriato,Macedo_ChristaoNovo,3,undirected
Braga_Viriato,Queiros_CasaRamirez,2,undirected
Braga_Viriato,Queiros_CidadesSerranas,2,undirected
Campos_FilhaCabinda,Dinis_FamiliaIngleza,3,undirected
Campos_FilhaCabinda,Pimentel_Annel,5,undirected
Campos_FilhaCabinda,Queiros_Maias,2,undirected
CasteloBranco_AmorPerdicao,Bradao_OsPobres,2,undirected
CasteloBranco_AmorPerdicao,CasteloBranco_BrilhantesBrasileiro,6,undirected
CasteloBranco_AmorPerdicao,CasteloBranco_CaveiraMartir,5,undirected
CasteloBranco_AmorPerdicao,Dinis_Pupilas,3,undirected
CasteloBranco_AmorPerdicao,Pimentel_Annel,1,undirected
CasteloBranco_BrilhantesBrasileiro,Bradao_OsPobres,1,undirected
CasteloBranco_BrilhantesBrasileiro,CasteloBranco_AmorPerdicao,6,undirected
CasteloBranco_BrilhantesBrasileiro,CasteloBranco_CaveiraMartir,3,undirected
CasteloBranco_BrilhantesBrasileiro,Dinis_Pupilas,3,undirected
CasteloBranco_CaveiraMartir,Braga_Viriato,2,undirected
CasteloBranco_CaveiraMartir,CasteloBranco_AmorPerdicao,5,undirected
CasteloBranco_CaveiraMartir,CasteloBranco_BrilhantesBrasileiro,3,undirected
CasteloBranco_CaveiraMartir,Herculano_EuricoPresbitero,1,undirected
CasteloBranco_CaveiraMartir,Queiros_CasaRamirez,3,undirected
Dinis_FamiliaIngleza,Campos_FilhaCabinda,3,undirected
Dinis_FamiliaIngleza,Dinis_Pupilas,6,undirected
Dinis_FamiliaIngleza,Macedo_ChristaoNovo,1,undirected
Dinis_FamiliaIngleza,Pimentel_Annel,5,undirected
Dinis_FamiliaIngleza,Queiros_Maias,3,undirected
Dinis_Pupilas,Bradao_OsPobres,3,undirected
Dinis_Pupilas,CasteloBranco_AmorPerdicao,3,undirected
Dinis_Pupilas,CasteloBranco_BrilhantesBrasileiro,3,undirected
Dinis_Pupilas,Dinis_FamiliaIngleza,6,undirected
Herculano_EuricoPresbitero,Braga_Viriato,6,undirected
Herculano_EuricoPresbitero,CasteloBranco_CaveiraMartir,1,undirected
Herculano_EuricoPresbitero,Pimentel_Annel,2,undirected
Macedo_ChristaoNovo,Braga_Viriato,3,undirected
Macedo_ChristaoNovo,Dinis_FamiliaIngleza,1,undirected
Macedo_ChristaoNovo,Pimentel_Annel,2,undirected
Pimentel_Annel,Campos_FilhaCabinda,5,undirected
Pimentel_Annel,CasteloBranco_AmorPerdicao,1,undirected
Pimentel_Annel,Dinis_FamiliaIngleza,5,undirected
Pimentel_Annel,Herculano_EuricoPresbitero,2,undirected
Pimentel_Annel,Macedo_ChristaoNovo,2,undirected
Pimentel_Annel,Queiros_Maias,2,undirected
Queiros_CasaRamirez,Braga_Viriato,2,undirected
Queiros_CasaRamirez,CasteloBranco_CaveiraMartir,3,undirected
Queiros_CasaRamirez,Queiros_CidadesSerranas,6,undirected
Queiros_CidadesSerranas,Braga_Viriato,2,undirected
Queiros_CidadesSerranas,Queiros_CasaRamirez,6,undirected
Queiros_CidadesSerranas,Queiros_Maias,1,undirected
Queiros_Maias,Campos_FilhaCabinda,2,undirected
Queiros_Maias,Dinis_FamiliaIngleza,3,undirected
Queiros_Maias,Pimentel_Annel,2,undirected
Queiros_Maias,Queiros_CidadesSerranas,1,undirected
