"Bradao_OsPobres" "Braga_Viriato" "Campos_FilhaCabinda" "CasteloBranco_AmorPerdicao" "CasteloBranco_BrilhantesBrasileiro" "CasteloBranco_CaveiraMartir" "Dinis_FamiliaIngleza" "Dinis_Pupilas" "Herculano_EuricoPresbitero" "Macedo_ChristaoNovo" "Pimentel_Annel" "Queiros_CasaRamirez" "Queiros_CidadesSerranas" "Queiros_Maias"
"a" 4.49291756836514 3.55500821018062 4.08811692438043 4.25312274181893 4.12335199196244 3.49867908787542 3.948157182132 3.95553691275168 3.25445408862494 3.16244595429277 4.48254529385771 3.24289296480996 3.02631193842011 3.53314556198037
"de" 2.88215620696439 3.61412151067323 2.8948669067288 3.3756580984825 3.68046585060794 4.11046996662959 3.64326022696736 3.28229865771812 3.49748743718593 4.59954704550134 2.96597437030491 3.85240282121357 3.95118096408816 3.51822632928103
"o" 3.05183946488294 3.11986863711002 3.56562875097084 3.33849489005884 3.17401734637387 4.36770022246941 3.06550633565537 3.16275167785235 3.61809045226131 3.52480955322215 3.59169244365886 4.01675447740869 3.35704041911786 3.66154138278682
"que" 3.49695061971277 3.28407224958949 3.54797712349079 3.66883452049138 3.75633060630293 3.36137374860957 3.81689645906112 4.24182046979866 3.17770671539516 2.28536133415689 3.78435704816615 2.46809229989012 2.3897327830948 2.38933772169754
"e" 4.07485736769624 3.33333333333333 3.49502224105062 2.99576752348508 2.97102786491973 3.1684510567297 2.51359116935734 2.7369966442953 3.29282777523984 3.89540868849084 2.5612019443217 3.27858075301233 3.83703573623672 2.8197349801755
"se" 2.05833169388157 1.7192118226601 1.59570712419685 1.76112315474347 1.82690533308729 1.73978031145717 1.86038820100461 1.96937919463087 1.70488807674737 2.0094708667902 1.81705700397702 0.947604692004996 0.905844821026136 1.41551871459508
"do" 0.634467833956325 1.35139573070608 1.39447857092424 1.37710333436564 1.20153369830432 1.58161846496107 1.12450131260723 1.04551174496644 1.96619460941069 1.72122709491456 1.31683605832965 1.47822575343495 1.18389088886938 1.17002952199683
"da" 0.678733031674208 1.77832512315271 1.00967309185907 1.30277691751832 1.18102971027865 1.26877085650723 0.967401864522397 0.960570469798658 1.50388305162175 1.26415482808318 1.38400353513036 1.43878135594812 1.18828108994059 0.992807121447075
"não" 1.22712964784576 0.596059113300493 1.27797782955589 1.8395788169712 1.64852063726395 1.04456340378198 1.60923579386899 1.81627516778523 0.666971219735039 1.16121062384188 1.39284136102519 0.85556776453573 0.69950537067931 0.981956770393009
"com" 0.759885894156994 1.10016420361248 0.949657558426887 0.920821719830701 0.994443419245043 1.49993047830923 1.03975029456147 1.00985738255034 0.696208314298767 1.14473955116327 0.694653115333628 1.56556691929864 1.44144935171364 1.30023373464562
"um" 1.14105843006099 0.940886699507389 1.06615829979524 0.673066997006297 0.627422033585532 1.07932424916574 0.859912768464353 0.861996644295302 0.886249428962997 0.922380070002059 0.84312859036677 1.18896683853154 1.3565721310036 1.78262225859099
"os" 1.24680306905371 1.58292282430213 1.07674927628327 0.761845772685042 0.826310717434541 0.985469966629588 0.870248258469934 0.71623322147651 1.94061215166743 1.32592135062796 1.06053910737958 0.925065036298237 1.08730646530278 0.882947317024653
"para" 1.02055872516231 1.06896551724138 0.815505189578479 0.906369360999277 0.658178015624039 0.761262513904338 0.880583748475515 1.04551174496644 0.891731384193696 0.54354539839407 0.913831197525409 0.97484010931733 1.02145344923464 0.821914092345529
"uma" 0.703324808184143 0.719211822660099 0.882581374002683 0.588417466707959 0.465440528182732 0.658718020022247 0.70798106538231 0.70364932885906 0.458656920968479 0.630018529956763 0.556783031374282 0.878107420242489 1.06828226066087 1.30837149793617
"em" 0.580365925634468 1.05418719211823 0.762550307138318 0.755651904614432 0.744294765331857 0.757786429365962 0.890919238481096 0.79383389261745 0.8698035632709 0.942968910850319 0.864339372514361 0.744747790644165 0.84145520531507 0.735111283912998
"as" 1.08203816643714 0.931034482758621 1.03438537033114 0.780427376896872 0.658178015624039 0.787333147942158 0.735886888397379 0.704697986577181 1.10187300137049 0.971793288037883 0.800707026071586 0.720329830295176 0.850235607457488 0.679051136800322
